COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,year,value
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,-4615.42
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,-455297.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,-9254.146535696378
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,-63248.87840381461
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,136096.7615775501
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,97273.94
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,-43445.87638900586
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,-161.8425386788246
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2011,-74403.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,-91471.24584572304
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,258786.5552487116
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,60116.99969711156
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,-92678.17133637
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,-1259.6467523723
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,-4009.14985106102
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,-418112.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,-20346.17659984589
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,-4515.562329569192
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,215391.7474694416
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,71282.19
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,-85197.23406748146
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,2575.500680610494
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2012,-41796.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,-49122.67038770356
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,256178.7632886459
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,46378.53598011208
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,-88384.03009309
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,-388.582899831015
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,-2540.57515351739
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,-339455.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,-21400.78969860228
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,22355.99375085751
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,148203.9498798773
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,33428.2
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,-129528.9315323336
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,2058.473420430864
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2013,-49329.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,-27314.28199258938
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,285239.8198616066
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,36351.46923996932
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,-110493.241349855
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,-2481.49840281779
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,-1987.684224225
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,-369978.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,-18344.93866043787
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,37158.22542629547
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,236046.577873629
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,57512.76000000001
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,-153585.3122194225
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,755.7907616601407
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2014,-32110.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,-22456.83800962087
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,277320.5270528032
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,136471.8016670147
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,-63408.884124215
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,-3109.12653341224
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,-1882.77408392544
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,-408447.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,-14944.18663213171
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,22759.04636661825
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,293022.3170355471
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,67777.18000000001
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,-144834.3073208808
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,2579.621008776205
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2015,-21354.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,-12113.78770736884
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,314857.6038938184
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,197049.3925321814
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,-30528.82546682
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,-1919.04782797293
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,-1742.39971522894
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,-396219.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,-8521.994957009483
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,46449.40120906545
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,191337.0359419939
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,24468.80999999998
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,-147868.520452342
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,931.393867987116
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2016,-22167.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,-38167.65922351103
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,304192.7895237062
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,203168.7270823949
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,-25263.59855021
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,-4916.79003335814
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,-2308.99562300696
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,-367614.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,-9056.99680589754
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,48867.63314757879
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,188676.1261211619
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,32178.63
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,-93747.52353696871
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,-5984.992475631517
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2017,-35145.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,-65599.43905266761
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,342181.7276975097
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,177268.5352764231
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,-53818.30422098499
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,-2561.15856890545
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,-2799.05306555055
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,-439851.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,-12159.9266177368
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,53985.85878549421
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,24130.90918449854
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,115679.87
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,-112615.83909692
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,-7095.172568149776
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2018,-14603.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,-29762.86465032816
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,311830.3194050017
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,176609.9976196956
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,-65001.149018105
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,67.7204794120727
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,-1843.40022316081
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,-441748.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,-10200.41053859004
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,65311.69994204483
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,102909.8760083877
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,65627.25
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,-76564.5276878271
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,-2948.537074514936
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2019,15014.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,32730.04858820798
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,250193.181663212
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,150028.9262807304
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,-24913.561503085
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,-1187.12015320636
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,-601207.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,6771.399115516772
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,75096.66392097165
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,248835.64393604
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,35372.68999999999
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,-79781.47806578699
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,1192.771686325682
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2020,-30976.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,-33422.35935793977
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,301386.4692080079
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,196525.0674688418
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,-40409.04595650999
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,-3284.27221768832
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,-867984.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,15700.9693510441
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,46292.9197860744
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,352885.75463463
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,124953.03
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,-13851.72062108777
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,-15775.41583307423
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2021,-6221.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,-79050.94195132396
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,161758.5037750409
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,90209.90494091505
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,-42156.80588137002
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,-1448.45367813425
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,-1012103.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,-1877.973944670412
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,-36325.20263913698
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,443374.2571164299
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,237734.7713391418
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,-70961.99367932416
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,-14437.64529454949
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2022,-46283.0
India,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,-31962.28741226523
Germany,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,251479.1488321242
Japan,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,156591.9643244305
Brazil,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,-27932.78228675497
Myanmar,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,
Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,1558.90929640974
United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,-905378.0
South Africa,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,-6143.218091438013
Italy,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,3260.629921948069
"China, People's Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,263382.35336819
Russian Federation,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,49438.99999999999
United Kingdom,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,-118354.023140501
Bangladesh,Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,4387.571900121793
"Türkiye, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Annual,Millions,2023,-39877.0
