COUNTRY,INDICATOR,FREQUENCY,SCALE,year,value
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2006,111.546
Russian Federation,Unemployment rate,Annual,Units,2006,7.05
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,8.319
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2006,29.04
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,8.702
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,8.165
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,-4.484
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,3.258
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,-1.576
Sri Lanka,Unemployment rate,Annual,Units,2006,6.6
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,7.668
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2006,24.667
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2006,28.03
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2006,44.225
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,4.585
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2006,33.561
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2006,33.692
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,-0.074
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,7.163
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,0.665
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2006,10.127
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,0.973
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,3.962
France,Unemployment rate,Annual,Units,2006,8.842
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,2.929
France,"Gross debt, General government, Percent of GDP",Annual,Units,2006,65.4
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,-0.282
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,0.254
France,"Expenditure, General government, Percent of GDP",Annual,Units,2006,53.748
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,1.775
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,5.81
Germany,Unemployment rate,Annual,Units,2006,10.042
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,3.862
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,-1.017
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,8.061
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,6.736
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,1.799
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,2.229
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,-1.469
Italy,Unemployment rate,Annual,Units,2006,6.867
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,-2.391
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,3.792
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,0.256
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,1.372
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2006,33.057
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2006,174.143
Japan,Unemployment rate,Annual,Units,2006,4.117
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,4.651
South Africa,Unemployment rate,Annual,Units,2006,23.55
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,-4.028
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,5.604
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,9.597
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,6.948
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,-5.642
"Türkiye, Republic of",Unemployment rate,Annual,Units,2006,8.7
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,-3.12
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2006,38.415
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,-1.147
United Kingdom,Unemployment rate,Annual,Units,2006,5.425
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,2.381
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,2.329
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,2.785
United States,Unemployment rate,Annual,Units,2006,4.608
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,3.222
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2006,-5.911
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,1.892
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2006,12.665
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2006,42.058
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,-1.486
India,"Gross debt, General government, Percent of GDP",Annual,Units,2006,77.941
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2006,-2.381
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2006,4.184
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2007,15.72
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2007,71.849
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,9.007
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2007,8.033
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2007,19.876
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,7.059
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2007,34.989
Bangladesh,Unemployment rate,Annual,Units,2007,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,-0.495
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,15.895
Brazil,Unemployment rate,Annual,Units,2007,9.28
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,2.88
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2007,63.025
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2007,40.352
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,4.774
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,9.777
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,12.5
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2007,28.708
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,0.441
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2007,17.867
"China, People's Republic of",Unemployment rate,Annual,Units,2007,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2007,64.739
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,2.554
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2007,43.54
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2007,63.687
India,"Expenditure, General government, Percent of GDP",Annual,Units,2007,26.945
India,Unemployment rate,Annual,Units,2007,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,3.169
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2007,103.454
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2007,46.6
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,2.749
Myanmar,Unemployment rate,Annual,Units,2007,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,34.437
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2007,83.703
Russian Federation,Unemployment rate,Annual,Units,2007,6.025
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,5.584
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2007,31.942
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,5.181
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,8.55
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,-3.66
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,3.413
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,-1.493
Sri Lanka,Unemployment rate,Annual,Units,2007,6.2
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,6.797
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2007,24.429
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2007,24.326
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2007,37.759
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,3.185
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2007,32.894
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2007,34.562
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,-0.847
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,7.205
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,1.003
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2007,9.627
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,-0.197
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,6.07
France,Unemployment rate,Annual,Units,2007,8.017
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,2.486
France,"Gross debt, General government, Percent of GDP",Annual,Units,2007,65.479
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,-0.521
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,-0.102
France,"Expenditure, General government, Percent of GDP",Annual,Units,2007,53.631
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,2.271
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,6.672
Germany,Unemployment rate,Annual,Units,2007,8.542
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,2.887
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,-1.293
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,7.661
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,5.919
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,1.462
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,2.025
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,-1.362
Italy,Unemployment rate,Annual,Units,2007,6.2
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,-2.193
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,4.633
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,0.046
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,1.484
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2007,33.123
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2007,172.951
Japan,Unemployment rate,Annual,Units,2007,3.833
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,7.128
South Africa,Unemployment rate,Annual,Units,2007,23.0
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,-4.846
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,5.36
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,8.756
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,5.044
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,-5.409
"Türkiye, Republic of",Unemployment rate,Annual,Units,2007,8.9
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,-3.729
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2007,38.654
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,-0.963
United Kingdom,Unemployment rate,Annual,Units,2007,5.35
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,2.625
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,2.323
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,2.004
United States,Unemployment rate,Annual,Units,2007,4.617
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,2.871
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2007,-5.089
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,1.605
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2007,14.154
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2007,43.174
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,0.264
India,"Gross debt, General government, Percent of GDP",Annual,Units,2007,75.455
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2007,-2.494
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2007,3.641
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2008,14.397
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2008,68.782
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,14.111
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2008,7.446
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2008,19.087
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,6.014
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2008,33.87
Bangladesh,Unemployment rate,Annual,Units,2008,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,-1.576
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,22.356
Brazil,Unemployment rate,Annual,Units,2008,8.27
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,3.213
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2008,61.42
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2008,39.916
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,5.845
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,9.038
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,7.558
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2008,26.715
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,0.379
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2008,22.157
"China, People's Republic of",Unemployment rate,Annual,Units,2008,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2008,73.59
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,2.069
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2008,44.418
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2008,65.16
India,"Expenditure, General government, Percent of GDP",Annual,Units,2008,29.293
India,Unemployment rate,Annual,Units,2008,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,2.075
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2008,105.788
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2008,47.751
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-3.166
Myanmar,Unemployment rate,Annual,Units,2008,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,20.911
