country,indicator,year,value,COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,TYPE_OF_TRANSFORMATION,2024,Country,Manual Sovereign Default Label,Year of Default,Default Type
United States,"Taxes on international trade and transactions, Transactions",2010.0,0.1900661008473999,,,,,,,,,,,,
Russian Federation,"Taxes on income, profits, and capital gains, payable by corporations a",2010.0,0.5548431071778318,,,,,,,,,,,,
United States,"Motor vehicles taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Other taxes on goods and services, Transactions",2010.0,0.0066011140293608,,,,,,,,,,,,
South Africa,"Taxes on payroll and workforce, Transactions",2010.0,0.283162146353612,,,,,,,,,,,,
United States,"Other taxes on international trade and transactions, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Exchange taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Taxes, Transactions",2010.0,12.17813103931002,,,,,,,,,,,,
United States,"Interest (before FISIM allocation), receivable, Other general governme",2010.0,0.0,,,,,,,,,,,,
United States,"Social contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Other taxes, Transactions",2010.0,-0.0004030825333656,,,,,,,,,,,,
South Africa,"Other taxes on income, profits, and capital gains, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Taxes on financial and capital transactions, Transactions",2010.0,0.0,,,,,,,,,,,,
South Africa,"Other social contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
South Africa,"Taxes on property, Transactions",2010.0,0.0277165035582058,,,,,,,,,,,,
United States,"Capital grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
South Africa,"Revenue, Transactions",2010.0,22.644288428084,,,,,,,,,,,,
United States,"Taxes on income, profits, and capital gains, Transactions",2010.0,7.819921290320437,,,,,,,,,,,,
United States,"Current grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
South Africa,"Social contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Taxes on payroll and workforce, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Taxes on income, profits, and capital gains, payable by individuals, T",2010.0,0.0137048061344324,,,,,,,,,,,,
United States,"Taxes on goods and services, Transactions",2010.0,0.4530335122491731,,,,,,,,,,,,
Russian Federation,"Grants receivable, International Organizations, Transactions",2010.0,0.0012092476000969,,,,,,,,,,,,
United States,"Grants receivable, Transactions",2010.0,0.0054322636591528,,,,,,,,,,,,
South Africa,"Taxes on income, profits, and capital gains, Transactions",2010.0,12.4342065786832,,,,,,,,,,,,
United States,"Revenue, Transactions",2010.0,9.957248915623822,,,,,,,,,,,,
United States,"Current grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
South Africa,"Taxes on income, profits, and capital gains, payable by corporations a",2010.0,4.96711008865933,,,,,,,,,,,,
Russian Federation,"Taxes on income, profits, and capital gains, Transactions",2010.0,0.5387198058432053,,,,,,,,,,,,
Russian Federation,"Other social contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
South Africa,"Grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Sales taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Taxes on payroll and workforce, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Other social contributions: employee contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Revenue, Transactions",2010.0,18.33098436987014,,,,,,,,,,,,
South Africa,"Grants receivable from foreign governments, Transactions",2010.0,0.0608267824596898,,,,,,,,,,,,
United States,"Other social contributions: employer contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
South Africa,"Taxes on international trade and transactions, Transactions",2010.0,0.870063223691043,,,,,,,,,,,,
United States,"Taxes, Transactions",2010.0,8.563219754169303,,,,,,,,,,,,
South Africa,"Other taxes, Transactions",2010.0,0.0006468966986329,,,,,,,,,,,,
South Africa,"Taxes on income, profits, and capital gains, payable by individuals, T",2010.0,7.4670964900239,,,,,,,,,,,,
United States,"Recurrent taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Grants receivable from foreign governments: current grants, Transactio",2010.0,0.0054322636591528,,,,,,,,,,,,
United States,Other taxes on use of goods and on permission to use goods or perform ,2010.0,0.0,,,,,,,,,,,,
United States,"General taxes on goods and services, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Social contributions, Transactions",2010.0,0.2061767158165354,,,,,,,,,,,,
Bangladesh,"Recurrent taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Other taxes on income, profits, and capital gains, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on income, profits, and capital gains, Transactions",2010.0,2.03560123163929,,,,,,,,,,,,
Bangladesh,"Interest (before FISIM allocation), receivable, Financial corporations",2010.0,,,,,,,,,,,,,
Bangladesh,"Grants receivable from foreign governments: capital grants, Transactio",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Grants receivable from foreign governments, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Grants receivable, Transactions",2010.0,0.404586184971337,,,,,,,,,,,,
Bangladesh,"Taxes on financial and capital transactions, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Interest (before FISIM allocation), receivable, Other general governme",2010.0,,,,,,,,,,,,,
Bangladesh,"Grants receivable from foreign governments: current grants, Transactio",2010.0,0.404586184971337,,,,,,,,,,,,
Bangladesh,"Recurrent taxes on net wealth, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on goods and services, Transactions",2010.0,3.01824460681344,,,,,,,,,,,,
Bangladesh,"Other social contributions: employee contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Other revenue, Transactions",2010.0,1.90914459699573,,,,,,,,,,,,
Bangladesh,"Other social contributions: employer contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Grants receivable, Other general government, Transactions",2010.0,0.0207587504683315,,,,,,,,,,,,
Russian Federation,"Taxes on international trade and transactions, Transactions",2010.0,6.375757971511336,,,,,,,,,,,,
Bangladesh,"Turnover and other general taxes on goods and services, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Tax, property, estate, inheritance, and gift taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
South Africa,"Taxes on goods and services, Transactions",2010.0,8.41968530274933,,,,,,,,,,,,
Bangladesh,"Grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Grants receivable from foreign governments, Transactions",2010.0,0.404586184971337,,,,,,,,,,,,
Bangladesh,"Current grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,Other taxes on use of goods and on permission to use goods or perform ,2010.0,0.0,,,,,,,,,,,,
Bangladesh,"General taxes on goods and services, Transactions",2010.0,2.89364722990872,,,,,,,,,,,,
Bangladesh,"Other taxes on international trade and transactions, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Interest (before FISIM allocation), receivable, Transactions",2010.0,0.0623692242144488,,,,,,,,,,,,
Bangladesh,"Grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Current grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Capital grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Interest (before FISIM allocation), receivable, Financial corporations",2010.0,0.1848697336529564,,,,,,,,,,,,
Bangladesh,"Taxes on payroll and workforce, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on exports, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Sales taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Social contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Taxes on goods and services, Transactions",2010.0,5.264056344488844,,,,,,,,,,,,
Bangladesh,"Taxes on income, profits, and capital gains, payable by corporations a",2010.0,0.949710239766421,,,,,,,,,,,,
South Africa,"Interest (before FISIM allocation), receivable, Transactions",2010.0,0.0826062764554935,,,,,,,,,,,,
South Africa,"Taxes, Transactions",2010.0,22.0354806517341,,,,,,,,,,,,
Bangladesh,"Capital grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on property, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Exchange taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on international trade and transactions, Transactions",2010.0,2.46559329346651,,,,,,,,,,,,
Bangladesh,"Other social contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Interest (before FISIM allocation), receivable, Transactions",2010.0,0.3454417310943711,,,,,,,,,,,,
Bangladesh,"Interest (before FISIM allocation), receivable, Nonresidents, Transact",2010.0,,,,,,,,,,,,,
Bangladesh,"Other taxes, Transactions",2010.0,0.315245617548089,,,,,,,,,,,,
Bangladesh,"Motor vehicles taxes, Transactions",2010.0,0.0812631913661368,,,,,,,,,,,,
Russian Federation,"Taxes on property, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes on income, profits, and capital gains, payable by individuals, T",2010.0,1.08589099187287,,,,,,,,,,,,
Bangladesh,"Other taxes on goods and services, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Tax, property, estate, inheritance, and gift taxes, Transactions",2010.0,0.1001995152493774,,,,,,,,,,,,
Bangladesh,"Revenue, Transactions",2010.0,10.1484155314344,,,,,,,,,,,,
United States,"Taxes on income, profits, and capital gains, payable by individuals, T",2010.0,6.362103066820165,,,,,,,,,,,,
Bangladesh,"Taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
Bangladesh,"Taxes, Transactions",2010.0,7.83468474946733,,,,,,,,,,,,
United States,"Other social contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
United States,"Other revenue, Transactions",2010.0,1.388596897795365,,,,,,,,,,,,
Russian Federation,"Other revenue, Transactions",2010.0,5.924708616675162,,,,,,,,,,,,
South Africa,"Other revenue, Transactions",2010.0,0.54798099389026,,,,,,,,,,,,
"China, People's Republic of","Taxes on payroll and workforce, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Recurrent taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","General taxes on goods and services, Transactions",2010.0,4.7284322656396,,,,,,,,,,,,
"China, People's Republic of",Other taxes on use of goods and on permission to use goods or perform ,2010.0,0.005057183981214,,,,,,,,,,,,
"China, People's Republic of","Current grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Revenue, Transactions",2010.0,11.33043606690924,,,,,,,,,,,,
"China, People's Republic of","Taxes, Transactions",2010.0,10.3023898378059,,,,,,,,,,,,
"China, People's Republic of","Recurrent taxes on net wealth, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Capital grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Other taxes, Transactions",2010.0,5.409965216203926e-06,,,,,,,,,,,,
"China, People's Republic of","Turnover and other general taxes on goods and services, Transactions",2010.0,0.0536622283229064,,,,,,,,,,,,
"China, People's Republic of","Other revenue, Transactions",2010.0,1.028046229103337,,,,,,,,,,,,
"China, People's Republic of","Taxes on exports, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Grants receivable from foreign governments: current grants, Transactio",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Interest (before FISIM allocation), receivable, Transactions",2010.0,0.0179168011373621,,,,,,,,,,,,
"China, People's Republic of","Grants receivable, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Other social contributions: employee contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on goods and services, Transactions",2010.0,7.180612958791445,,,,,,,,,,,,
"China, People's Republic of","Taxes on international trade and transactions, Transactions",2010.0,0.5029211374697881,,,,,,,,,,,,
"Türkiye, Republic of","Grants receivable from foreign governments: capital grants, Transactio",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Tax, property, estate, inheritance, and gift taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Motor vehicles taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Sales taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Social contributions, Transactions",2010.0,0.1974030038560135,,,,,,,,,,,,
"Türkiye, Republic of","Motor vehicles taxes, Transactions",2010.0,0.4573600341760389,,,,,,,,,,,,
"Türkiye, Republic of","Other revenue, Transactions",2010.0,2.507043153557483,,,,,,,,,,,,
"China, People's Republic of","Taxes on income, profits, and capital gains, payable by corporations a",2010.0,1.908218353132237,,,,,,,,,,,,
"Türkiye, Republic of","Other social contributions: employer contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Grants receivable, Other general government, Transactions",2010.0,0.725120461795494,,,,,,,,,,,,
"Türkiye, Republic of","Other taxes on income, profits, and capital gains, Transactions",2010.0,0.0392618615369557,,,,,,,,,,,,
"Türkiye, Republic of","Recurrent taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Taxes on income, profits, and capital gains, Transactions",2010.0,2.618850331579455,,,,,,,,,,,,
"China, People's Republic of","Other taxes on income, profits, and capital gains, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Capital grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on income, profits, and capital gains, payable by corporations a",2010.0,1.970560995650386,,,,,,,,,,,,
"Türkiye, Republic of","Turnover and other general taxes on goods and services, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Other social contributions: employee contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Interest (before FISIM allocation), receivable, Financial corporations",2010.0,,,,,,,,,,,,,
"Türkiye, Republic of","Grants receivable from foreign governments, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Capital grants receivable, Other general government, Transactions",2010.0,0.004221986733535,,,,,,,,,,,,
"Türkiye, Republic of","Current grants receivable, International Organizations, Transactions",2010.0,0.0085810422238668,,,,,,,,,,,,
"China, People's Republic of","Taxes on financial and capital transactions, Transactions",2010.0,0.1292075945889935,,,,,,,,,,,,
"Türkiye, Republic of","Other taxes, Transactions",2010.0,0.8271653748449608,,,,,,,,,,,,
"Türkiye, Republic of","Other social contributions, Transactions",2010.0,0.1974030038560135,,,,,,,,,,,,
India,"Taxes on financial and capital transactions, Transactions",2010.0,0.0019909699036082,,,,,,,,,,,,
India,"Capital grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Recurrent taxes on net wealth, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Grants receivable, International Organizations, Transactions",2010.0,0.0085810422238668,,,,,,,,,,,,
"Türkiye, Republic of","Other taxes on international trade and transactions, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Exchange taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Current grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Grants receivable from foreign governments: current grants, Transactio",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Interest (before FISIM allocation), receivable, Transactions",2010.0,0.2326106894130179,,,,,,,,,,,,
India,"General taxes on goods and services, Transactions",2010.0,0.0203943430257765,,,,,,,,,,,,
"Türkiye, Republic of","Revenue, Transactions",2010.0,22.24750500870246,,,,,,,,,,,,
India,"Taxes on international trade and transactions, Transactions",2010.0,1.77894470736017,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on property, Transactions",2010.0,0.018625983907415,,,,,,,,,,,,
"Türkiye, Republic of","Exchange taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Tax, property, estate, inheritance, and gift taxes, Transactions",2010.0,0.018625983907415,,,,,,,,,,,,
India,"Capital grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
India,"Taxes on immovable property, Transactions",2010.0,2.619697241589789e-05,,,,,,,,,,,,
India,"Taxes, Transactions",2010.0,10.38804265391049,,,,,,,,,,,,
India,"Other revenue, Transactions",2010.0,2.761828915432243,,,,,,,,,,,,
India,"Grants receivable from foreign governments, Transactions",2010.0,0.0349991551476395,,,,,,,,,,,,
India,"Grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Current grants receivable, Other general government, Transactions",2010.0,0.7208984750619589,,,,,,,,,,,,
India,"Current grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on income, profits, and capital gains, payable by individuals, T",2010.0,3.480109957332007,,,,,,,,,,,,
"Türkiye, Republic of","Other taxes on goods and services, Transactions",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on income, profits, and capital gains, Transactions",2010.0,5.489932814519349,,,,,,,,,,,,
India,"Grants receivable, Transactions",2010.0,0.0349991551476395,,,,,,,,,,,,
India,"Taxes on income, profits, and capital gains, payable by corporations a",2010.0,3.912360648479855,,,,,,,,,,,,
Brazil,"Taxes on financial and capital transactions, Transactions",2010.0,0.6817649612275007,,,,,,,,,,,,
Brazil,"General taxes on goods and services, Transactions",2010.0,6.121785171881703,,,,,,,,,,,,
Brazil,Other taxes on use of goods and on permission to use goods or perform ,2010.0,0.1459858889827623,,,,,,,,,,,,
India,"Other taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Interest (before FISIM allocation), receivable, Other general governme",2010.0,1.808553377331081,,,,,,,,,,,,
India,"Other taxes on goods and services, Transactions",2010.0,1.036129554507386,,,,,,,,,,,,
India,"Taxes on income, profits, and capital gains, payable by individuals, T",2010.0,1.822025628498114,,,,,,,,,,,,
Brazil,"Interest (before FISIM allocation), receivable, Nonresidents, Transact",2010.0,0.0082528538778292,,,,,,,,,,,,
India,"Taxes on income, profits, and capital gains, Transactions",2010.0,5.734857822481456,,,,,,,,,,,,
India,"Grants receivable from foreign governments: capital grants, Transactio",2010.0,0.0349991551476395,,,,,,,,,,,,
India,"Revenue, Transactions",2010.0,13.21859932647584,,,,,,,,,,,,
Russian Federation,"General taxes on goods and services, Transactions",2010.0,4.96899993006518,,,,,,,,,,,,
Russian Federation,Other taxes on use of goods and on permission to use goods or perform ,2010.0,0.0002015412666828,,,,,,,,,,,,
Brazil,"Turnover and other general taxes on goods and services, Transactions",2010.0,4.480532091507206,,,,,,,,,,,,
Brazil,"Grants receivable, International Organizations, Transactions",2010.0,0.0005139241086949,,,,,,,,,,,,
Brazil,"Grants receivable from foreign governments, Transactions",2010.0,0.0,,,,,,,,,,,,
"China, People's Republic of","Other social contributions: employer contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Current grants receivable, Other general government, Transactions",2010.0,0.0207587504683315,,,,,,,,,,,,
Russian Federation,"Other social contributions: imputed contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
India,"Exchange taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
India,"Other taxes on international trade and transactions, Transactions",2010.0,0.0,,,,,,,,,,,,
India,"Taxes on property, Transactions",2010.0,0.0090248569972768,,,,,,,,,,,,
India,"Grants receivable from foreign governments: current grants, Transactio",2010.0,0.0,,,,,,,,,,,,
"Türkiye, Republic of","Taxes on financial and capital transactions, Transactions",2010.0,0.007964631286338,,,,,,,,,,,,
"Türkiye, Republic of","Grants receivable, Transactions",2010.0,0.7337015040193609,,,,,,,,,,,,
Russian Federation,"Capital grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
India,"Tax, property, estate, inheritance, and gift taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Recurrent taxes on net wealth, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Interest (before FISIM allocation), receivable, Transactions",2010.0,3.38675463013078,,,,,,,,,,,,
Brazil,"Grants receivable from foreign governments: current grants, Transactio",2010.0,0.0,,,,,,,,,,,,
Brazil,"Taxes, Transactions",2010.0,14.24957595656862,,,,,,,,,,,,
Brazil,"Taxes on immovable property, Transactions",2010.0,0.0123440851577532,,,,,,,,,,,,
Brazil,"Taxes on international trade and transactions, Transactions",2010.0,0.5425584719336608,,,,,,,,,,,,
Russian Federation,"Recurrent taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Tax, property, estate, inheritance, and gift taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Grants receivable from foreign governments: capital grants, Transactio",2010.0,0.0,,,,,,,,,,,,
Brazil,"Interest (before FISIM allocation), receivable, Financial corporations",2010.0,1.569948398921862,,,,,,,,,,,,
Russian Federation,"Turnover and other general taxes on goods and services, Transactions",2010.0,0.0,,,,,,,,,,,,
India,"Recurrent taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
India,"Other taxes on income, profits, and capital gains, Transactions",2010.0,0.0004715455034861,,,,,,,,,,,,
Russian Federation,"Capital grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Taxes on payroll and workforce, Transactions",2010.0,0.3224787870587802,,,,,,,,,,,,
Brazil,"Taxes on exports, Transactions",2010.0,0.0011290313079748,,,,,,,,,,,,
Brazil,"Grants receivable, Transactions",2010.0,0.0075309318354531,,,,,,,,,,,,
Russian Federation,"Taxes on exports, Transactions",2010.0,5.094963221741949,,,,,,,,,,,,
Russian Federation,"Tax, property, estate, inheritance, and gift taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Current grants receivable, Other general government, Transactions",2010.0,0.0048459997153773,,,,,,,,,,,,
Russian Federation,"Grants receivable, Transactions",2010.0,0.0219679980684285,,,,,,,,,,,,
Russian Federation,"Other social contributions: employer contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Grants receivable from foreign governments: current grants, Transactio",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Other taxes on international trade and transactions, Transactions",2010.0,0.0513930230041217,,,,,,,,,,,,
Brazil,"Capital grants receivable, International Organizations, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Interest (before FISIM allocation), receivable, Financial corporations",2010.0,,,,,,,,,,,,,
Russian Federation,"Sales taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Grants receivable from foreign governments: capital grants, Transactio",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Taxes on immovable property, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Other taxes on goods and services, Transactions",2010.0,0.0013418233340118,,,,,,,,,,,,
"Türkiye, Republic of","Interest (before FISIM allocation), receivable, Other general governme",2010.0,,,,,,,,,,,,,
Brazil,"Taxes on income, profits, and capital gains, payable by individuals, T",2010.0,2.263003925934629,,,,,,,,,,,,
Russian Federation,"Motor vehicles taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Motor vehicles taxes, Transactions",2010.0,0.0,,,,,,,,,,,,
India,"Current grants receivable, Other general government, Transactions",2010.0,0.0,,,,,,,,,,,,
Russian Federation,"Other social contributions: employee contributions, Transactions",2010.0,0.0,,,,,,,,,,,,
Brazil,"Other social contributions: employer contributions, Transactions",2010.0,0.4809679779500582,,,,,,,,,,,,
